"ประทับเวลา","สถานภาพของผู้ตอบแบบสอบถาม","หลักสูตร/สาขา","ชั้นปี (ถ้าเป็นนักศึกษา)","ท่านใช้สิ่งสนับสนุนการเรียนรู้ของคณะบ่อยเพียงใด","1. ห้องเรียนมีจำนวนเพียงพอและมีสภาพแวดล้อมที่เอื้อต่อการเรียนรู้  (AUN-QA 7.1)  ","2. ห้องปฏิบัติการ/อุปกรณ์เฉพาะทาง มีความทันสมัยและพร้อมใช้งาน (AUN-QA 7.2)  ","3. ทรัพยากรห้องสมุด (หนังสือ / e-Book / Database) ตรงกับความต้องการ (AUN-QA 7.3)  ","4. ระบบเทคโนโลยีสารสนเทศและ Wi-Fi มีความเสถียรและครอบคลุม (AUN-QA 7.4)  ","5. มาตรฐานความปลอดภัย (ถังดับเพลิง ป้ายทางหนีไฟ ระบบรักษาความปลอดภัย) (AUN-QA 7.5)  ","6.  ความสะอาดของห้องน้ำและพื้นที่ส่วนกลาง ","7.  พื้นที่สำหรับพักผ่อนหรือทำงานกลุ่ม (Co-working Space) ","8. ความสว่างและการระบายอากาศในอาคาร ","9.  สิ่งอำนวยความสะดวกสำหรับผู้พิการ เช่น ทางลาดสำหรับผู้พิการ ห้องน้ำผู้พิการ เป็นต้น","10. เจ้าหน้าที่ผู้ดูแลสิ่งอำนวยความสะดวกให้บริการด้วยความสุภาพและรวดเร็ว (AUN-QA 7.6)  ","11.  เจ้าหน้าที่ผู้ดูแล (ช่าง / บรรณารักษ์ / IT) มีความรู้และเต็มใจให้บริการ (AUN-QA 7.6)  ","12. ระบบการแจ้งซ่อมหรือขอความช่วยเหลือมีความสะดวกและมีประสิทธิภาพ (AUN-QA 7.7)  ","13.  เมื่อมีการแจ้งปัญหา ท่านได้รับการตอบสนองหรือแก้ไขภายในเวลาที่เหมาะสม (AUN-QA 7.7)  ","14.  สิ่งสนับสนุนการเรียนรู้ของคณะช่วยให้การเรียนของท่านมีประสิทธิภาพมากขึ้น ","15.  สิ่งอำนวยความสะดวกของคณะช่วยส่งเสริมการเรียนรู้และการทำงานร่วมกันของนักศึกษา ","16. สิ่งสนับสนุนการเรียนรู้ของคณะมีความเพียงพอต่อความต้องการในการเรียน","17. สิ่งใดควรได้รับการปรับปรุงมากที่สุด (เลือกได้มากกว่า 1 ข้อ)  ","18. ท่านมีความพึงพอใจต่อสิ่งสนับสนุนการเรียนรู้ของคณะโดยรวมในระดับใด  ","19. ข้อเสนอแนะเพิ่มเติม"
"2569/03/15 3:07:22 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้นาน ๆ ครั้ง","3","4","2","3","3","4","2","3","2","3","3","4","4","4","3","3","ห้องเรียน;ระบบอินเทอร์เน็ต;ระบบแจ้งซ่อม","4",""
"2569/03/15 3:07:33 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้นาน ๆ ครั้ง","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","ห้องเรียน;ความปลอดภัยในอาคาร;การบริการของเจ้าหน้าที่","4",""
"2569/03/15 3:08:01 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้นาน ๆ ครั้ง","3","3","3","2","3","4","3","3","3","3","3","3","3","3","3","3","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่;ระบบแจ้งซ่อม","3",""
"2569/03/15 3:09:04 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้เดือนละหลายครั้ง","4","3","2","4","5","5","4","5","5","5","5","5","5","4","5","5","ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร;ความสะอาดและสิ่งแวดล้อม","5",""
"2569/03/15 3:09:34 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้สัปดาห์ละหลายครั้ง","3","3","3","3","3","4","4","4","3","4","4","4","4","4","4","3","ห้องปฏิบัติการ","4",""
"2569/03/15 3:09:36 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้เดือนละหลายครั้ง","3","3","3","3","4","2","2","3","3","4","3","4","4","4","4","3","ห้องเรียน;ห้องปฏิบัติการ;ห้องสมุด;ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่;ระบบแจ้งซ่อม","4",""
"2569/03/15 3:09:53 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้ทุกวัน","2","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","ห้องสมุด;ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่;ระบบแจ้งซ่อม","3",""
"2569/03/15 3:09:55 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้ทุกวัน","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","ระบบอินเทอร์เน็ต","4",""
"2569/03/15 3:10:12 PM GMT+7","อาจารย์","เศรษฐกิจดิจิทัล","","ใช้ทุกวัน","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","ระบบอินเทอร์เน็ต","5",""
"2569/03/15 3:11:09 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้สัปดาห์ละหลายครั้ง","4","3","3","5","4","4","3","4","3","4","4","4","3","4","4","4","ห้องปฏิบัติการ;-","4","-"
"2569/03/15 3:11:19 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้ทุกวัน","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","ระบบอินเทอร์เน็ต;การบริการของเจ้าหน้าที่;ระบบแจ้งซ่อม","5",""
"2569/03/15 3:11:50 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","แทบไม่เคยใช้","4","4","4","3","4","4","3","4","4","4","4","4","5","4","4","4","ระบบอินเทอร์เน็ต","4",""
"2569/03/15 3:11:53 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้นาน ๆ ครั้ง","5","5","5","5","5","5","5","5","5","5","5","4","4","5","4","4","การบริการของเจ้าหน้าที่","5","-"
"2569/03/15 3:11:56 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้เดือนละหลายครั้ง","5","3","4","3","5","4","3","4","4","3","3","4","4","4","4","4","ห้องปฏิบัติการ;ห้องสมุด;ระบบอินเทอร์เน็ต","4",""
"2569/03/15 3:12:27 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้สัปดาห์ละหลายครั้ง","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","ห้องปฏิบัติการ;ห้องสมุด;ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร","5",""
"2569/03/15 3:12:39 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้สัปดาห์ละหลายครั้ง","5","5","5","5","5","5","4","5","5","5","5","5","5","5","5","5","ห้องเรียน;ระบบอินเทอร์เน็ต","4",""
"2569/03/15 3:13:17 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้ทุกวัน","4","4","4","4","5","4","4","4","5","4","5","4","5","4","4","5","ห้องเรียน;ห้องปฏิบัติการ","4",""
"2569/03/15 3:13:35 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้นาน ๆ ครั้ง","5","4","5","5","5","4","5","5","5","5","5","5","5","4","4","5","ห้องเรียน;ระบบอินเทอร์เน็ต","5",""
"2569/03/15 3:15:49 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้นาน ๆ ครั้ง","4","4","4","3","5","4","3","4","5","5","5","5","4","3","4","4","ความปลอดภัยในอาคาร","4","_"
"2569/03/15 3:16:04 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้สัปดาห์ละหลายครั้ง","4","3","4","5","3","4","4","5","3","5","4","4","4","5","3","5","ระบบอินเทอร์เน็ต","3",""
"2569/03/15 3:16:22 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้ทุกวัน","5","5","5","5","5","4","3","5","5","5","5","5","5","5","5","5","ห้องน้ำ ","5",""
"2569/03/15 3:17:28 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้ทุกวัน","4","4","3","3","4","4","3","3","3","4","4","4","4","4","4","3","ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร;ความสะอาดและสิ่งแวดล้อม","4","-"
"2569/03/15 3:17:30 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้สัปดาห์ละหลายครั้ง","5","5","5","4","5","3","3","5","5","4","4","4","5","4","4","5","ความสะอาดและสิ่งแวดล้อม;ความสะอาดห้องน้ำ","4","ไม่มี"
"2569/03/15 3:18:05 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้ทุกวัน","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","4","ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร;การบริการของเจ้าหน้าที่","3",""
"2569/03/15 3:20:16 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้นาน ๆ ครั้ง","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","ระบบอินเทอร์เน็ต;การบริการของเจ้าหน้าที่","5","ดีมาก"
"2569/03/15 3:20:34 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้ทุกวัน","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5","ระบบอินเทอร์เน็ต","5",""
"2569/03/15 3:20:58 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้เดือนละหลายครั้ง","4","3","3","4","4","1","4","4","2","4","4","4","4","4","4","3","ความสะอาดและสิ่งแวดล้อม;ห้องน้ำชั้น1","4","ช่วยทำความสะอาดห้องน้ำชั้น1ให้สะอาดด้วยค่ะ"
"2569/03/15 3:21:24 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้ทุกวัน","5","5","5","5","5","5","5","5","5","5","5","4","4","3","4","4","ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร;ความสะอาดและสิ่งแวดล้อม","4","-"
"2569/03/15 3:21:55 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้ทุกวัน","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","ห้องเรียน;ห้องปฏิบัติการ;ห้องสมุด;ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่;ระบบแจ้งซ่อม","4",""
"2569/03/15 3:21:58 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้เดือนละหลายครั้ง","5","5","4","4","5","4","4","4","4","4","5","5","5","5","4","5","ระบบอินเทอร์เน็ต","5",""
"2569/03/15 3:22:15 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้ทุกวัน","5","5","5","3","5","4","5","5","5","4","5","4","4","5","5","5","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม;ระบบแจ้งซ่อม","5",""
"2569/03/15 3:22:19 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้ทุกวัน","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","ความปลอดภัยในอาคาร","5",""
"2569/03/15 3:22:29 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้สัปดาห์ละหลายครั้ง","4","4","4","3","5","3","4","4","5","4","4","4","4","5","5","4","ระบบอินเทอร์เน็ต","4",""
"2569/03/15 3:23:30 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้สัปดาห์ละหลายครั้ง","4","4","4","4","5","5","4","5","4","4","5","4","4","4","4","4","ห้องเรียน;ห้องปฏิบัติการ;ห้องสมุด;ความสะอาดและสิ่งแวดล้อม","4",""
"2569/03/15 3:23:54 PM GMT+7","อาจารย์","คอมพิวเตอร์ธุรกิจ","","ใช้ทุกวัน","4","4","3","4","4","4","4","5","3","3","5","4","4","5","5","4","ความสะอาดและสิ่งแวดล้อม;มีกลิ่นบุหรี่บริเวณห้องน้ำชั้น3 ซึ่งส่วนใหญ่เป็นชั้นเรียน","4",""
"2569/03/15 3:23:57 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้นาน ๆ ครั้ง","3","3","3","3","4","5","3","3","4","4","4","4","4","4","4","4","ห้องเรียน","4","-"
"2569/03/15 3:25:03 PM GMT+7","อาจารย์","คอมพิวเตอร์ธุรกิจ","ปี 3  หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2568","ใช้ทุกวัน","4","5","5","5","4","5","5","5","4","5","5","5","4","5","4","4","ระบบอินเทอร์เน็ต","5",""
"2569/03/15 3:25:26 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้สัปดาห์ละหลายครั้ง","4","5","5","4","5","5","4","4","5","5","5","4","4","5","5","4","ระบบอินเทอร์เน็ต","4",""
"2569/03/15 3:26:51 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้สัปดาห์ละหลายครั้ง","4","3","3","4","3","5","4","5","3","4","4","3","5","4","5","3","ระบบอินเทอร์เน็ต;การบริการของเจ้าหน้าที่;ระบบแจ้งซ่อม","4",""
"2569/03/15 3:26:59 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้สัปดาห์ละหลายครั้ง","3","3","3","3","3","3","2","3","3","3","3","3","3","3","2","3","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม","4","กลิ่นบุหรี่.ในห้องน้ำ"
"2569/03/15 3:27:19 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้สัปดาห์ละหลายครั้ง","3","2","4","1","1","5","1","2","2","5","4","5","3","5","3","4","ความสะอาดและสิ่งแวดล้อม;","5","ไม่มี"
"2569/03/15 3:27:19 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้เดือนละหลายครั้ง","5","5","4","4","5","4","3","4","4","3","4","3","3","5","5","5","ความสะอาดของห้องน้ำ","5",""
"2569/03/15 3:27:20 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้สัปดาห์ละหลายครั้ง","5","5","3","5","5","5","5","5","5","4","4","4","5","4","4","5","ระบบอินเทอร์เน็ต","5","เรียนดีและสนุก"
"2569/03/15 3:27:31 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้ทุกวัน","4","4","4","3","4","3","2","3","3","4","4","3","3","4","4","3","ห้องเรียน;ห้องปฏิบัติการ;ระบบอินเทอร์เน็ต","4","ขอWi-Fiอย่าล่มบ่อย"
"2569/03/15 3:28:24 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้ทุกวัน","3","4","4","4","4","4","3","4","3","4","4","4","4","4","4","4","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม","4",""
"2569/03/15 3:28:51 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้นาน ๆ ครั้ง","5","4","5","4","5","4","5","5","3","5","5","4","5","5","3","5","ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร;ความสะอาดและสิ่งแวดล้อม","4",""
"2569/03/15 3:28:58 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้สัปดาห์ละหลายครั้ง","4","4","4","3","4","3","5","4","4","4","4","4","4","4","4","4","ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่","4",""
"2569/03/15 3:29:00 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้นาน ๆ ครั้ง","4","4","4","4","4","3","3","4","3","3","3","3","3","4","4","4","ระบบอินเทอร์เน็ต;ความปลอดภัยในอาคาร;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่","4",""
"2569/03/15 3:29:14 PM GMT+7","นักศึกษา","บัญชี","ปี 4 หรือ นักศึกษาเทียบโอนที่เข้าปีการศึกษา 2567","ใช้ทุกวัน","4","4","3","3","4","1","3","4","1","1","4","4","4","4","4","4","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม;ห้องน้ำ","3","อยากให้ทำความสะอาดห้องน้ำชั้น1ให้สะอาดมากขึ้นเหม็นมาก"
"2569/03/15 3:29:57 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้ทุกวัน","3","4","4","4","4","3","3","4","4","4","4","4","4","4","4","4","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม","4",""
"2569/03/15 3:30:00 PM GMT+7","นักศึกษา","คอมพิวเตอร์ธุรกิจ","ปี 1","ใช้ทุกวัน","4","3","3","3","4","1","2","5","3","2","1","2","3","4","4","4","ระบบอินเทอร์เน็ต;ความสะอาดและสิ่งแวดล้อม;การบริการของเจ้าหน้าที่","3",""
